CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_201905_002,1,1,1,1,1,0,0,0
sps4_201905_003,1,1,1,1,1,0,0,0
sps4_201905_004,1,1,1,1,1,0,0,0
sps4_201905_005,1,1,1,1,1,0,0,0
sps4_201905_006,1,1,1,1,1,0,0,0
sps4_201905_007,1,1,1,1,1,0,0,0
sps4_201905_008,1,1,1,1,1,0,0,0
sps4_201905_009,1,1,1,1,1,0,0,0
sps4_201905_010,1,1,1,1,1,0,0,0
sps4_201905_011,1,1,1,1,1,0,0,0
sps4_201905_012,1,1,1,1,1,0,0,0
sps4_201905_013,1,1,1,1,1,0,0,0
sps4_201905_014,1,1,1,1,1,0,0,0
sps4_201905_015,1,1,1,1,1,0,0,0
sps4_201905_016,1,1,1,1,1,0,0,0
sps4_201905_017,1,1,1,1,1,0,0,0
sps4_201905_018,1,1,1,1,1,0,0,0
sps4_201905_019,1,1,1,1,1,0,0,0
sps4_201905_020,1,1,1,1,1,0,0,0
sps4_201905_021,1,1,1,1,1,0,0,0
sps4_201905_022,1,1,1,1,1,0,0,0
sps4_201905_023,1,1,1,1,1,0,0,0
sps4_201905_024,1,1,1,1,1,0,0,0
sps4_201905_025,1,1,1,1,1,0,0,0
sps4_202005_001,0,0,0,0,0,0,0,0
sps4_202005_002,0,0,0,0,0,0,0,0
sps4_202005_003,0,0,0,0,0,0,0,0
sps4_202005_004,0,0,0,0,0,0,0,0
sps4_202005_005,0,0,0,0,0,0,0,0
sps4_202005_006,0,0,0,0,0,0,0,0
sps4_202005_007,0,0,0,0,0,0,0,0
sps4_202005_008,0,0,0,0,0,0,0,0
sps4_202005_009,0,0,0,0,0,0,0,0
sps4_202005_010,0,0,0,0,0,0,0,0
sps4_202005_011,0,0,0,0,0,0,0,0
sps4_202005_012,0,0,0,0,0,0,0,0
sps4_202005_013,0,0,0,0,0,0,0,0
sps4_202005_014,0,0,0,0,0,0,0,0
sps4_202005_015,0,0,0,0,0,0,0,0
sps4_202005_016,0,0,0,0,0,0,0,0
sps4_202005_017,0,0,0,0,0,0,0,0
sps4_202005_018,0,0,0,0,0,0,0,0
sps4_202005_019,0,0,0,0,0,0,0,0
sps4_202005_020,0,0,0,0,0,0,0,0
sps4_202005_021,0,0,0,0,0,0,0,0
sps4_202005_022,0,0,0,0,0,0,0,0
sps4_202005_023,0,0,0,0,0,0,0,0
sps4_202005_024,0,0,0,0,0,0,0,0
sps4_202005_025,0,0,0,0,0,0,0,0
sps4_202105_001,1,1,1,1,1,0,0,0
sps4_202105_002,1,1,1,1,1,0,0,0
sps4_202105_003,1,1,1,1,1,0,0,0
sps4_202105_004,1,1,1,1,1,0,0,0
sps4_202105_005,1,1,1,1,1,0,0,0
sps4_202105_006,1,1,1,1,1,0,0,0
sps4_202105_007,1,1,1,1,1,0,0,0
sps4_202105_008,1,1,1,1,1,0,0,0
sps4_202105_009,1,1,1,1,1,0,0,0
sps4_202105_010,1,1,1,1,1,0,0,0
sps4_202105_011,1,0,0,0,0,0,0,0
sps4_202105_012,1,1,1,1,1,0,0,0
sps4_202105_013,1,1,1,1,1,0,0,0
sps4_202105_014,1,1,1,1,1,0,0,0
sps4_202105_015,1,1,1,1,1,0,0,0
sps4_202105_016,1,1,1,1,1,0,0,0
sps4_202105_017,1,1,1,1,1,0,0,0
sps4_202105_018,1,1,1,1,1,0,0,0
sps4_202105_019,1,1,1,1,1,0,0,0
sps4_202105_020,1,1,1,1,1,0,0,0
sps4_202105_021,1,1,1,1,1,0,0,0
sps4_202105_022,1,1,1,1,1,0,0,0
sps4_202105_023,1,1,1,1,1,0,0,0
sps4_202105_024,1,1,1,1,1,0,0,0
sps4_202105_025,1,1,1,1,1,0,0,0
sps4_200208_001,1,1,1,1,1,0,0,0
sps4_200208_002,1,1,1,1,1,0,0,0
sps4_200208_003,1,1,1,1,1,0,0,0
sps4_200208_004,1,1,1,1,1,0,0,0
sps4_200208_005,1,1,1,1,1,0,0,0
sps4_200208_006,1,1,1,1,1,0,0,0
sps4_200208_007,1,1,1,1,1,0,0,0
sps4_200208_008,1,1,1,1,1,0,0,0
sps4_200208_009,1,1,1,1,1,0,0,0
sps4_200208_010,1,1,1,1,1,0,0,0
sps4_200208_011,1,1,1,1,1,0,0,0
sps4_200208_012,1,1,1,1,1,0,0,0
sps4_200208_013,1,1,1,1,1,0,0,0
sps4_200208_014,1,1,1,1,1,0,0,0
sps4_200208_015,1,1,1,1,1,0,0,0
sps4_200208_016,1,1,1,1,1,0,0,0
sps4_200208_017,1,1,1,1,1,0,0,0
