CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_201902_022,0,0,0,0,0,0,0,0
sps4_201902_023,0,0,0,0,0,0,0,0
sps4_201902_024,0,0,0,0,0,0,0,0
sps4_201902_025,0,0,0,0,0,0,0,0
sps4_202002_001,0,0,0,0,0,0,0,0
sps4_202002_002,0,0,0,0,0,0,0,0
sps4_202002_003,0,0,0,0,0,0,0,0
sps4_202002_004,0,0,0,0,0,0,0,0
sps4_202002_005,0,0,0,0,0,0,0,0
sps4_202002_006,0,0,0,0,0,0,0,0
sps4_202002_007,0,0,0,0,0,0,0,0
sps4_202002_008,0,0,0,0,0,0,0,0
sps4_202002_009,0,0,0,0,0,0,0,0
sps4_202002_010,0,0,0,0,0,0,0,0
sps4_202002_011,0,0,0,0,0,0,0,0
sps4_202002_012,0,0,0,0,0,0,0,0
sps4_202002_013,0,0,0,0,0,0,0,0
sps4_202002_014,0,0,0,0,0,0,0,0
sps4_202002_015,0,0,0,0,0,0,0,0
sps4_202002_016,0,0,0,0,0,0,0,0
sps4_202002_017,0,0,0,0,0,0,0,0
sps4_202002_018,0,0,0,0,0,0,0,0
sps4_202002_019,0,0,0,0,0,0,0,0
sps4_202002_020,0,0,0,0,0,0,0,0
sps4_202002_021,0,0,0,0,0,0,0,0
sps4_202002_022,0,0,0,0,0,0,0,0
sps4_202002_023,0,0,0,0,0,0,0,0
sps4_202002_024,0,0,0,0,0,0,0,0
sps4_202002_025,0,0,0,0,0,0,0,0
sps4_202102_001,0,0,0,0,0,0,0,0
sps4_202102_002,0,0,0,0,0,0,0,0
sps4_202102_003,0,0,0,0,0,0,0,0
sps4_202102_004,0,0,0,0,0,0,0,0
sps4_202102_005,0,0,0,0,0,0,0,0
sps4_202102_006,0,0,0,0,0,0,0,0
sps4_202102_007,0,0,0,0,0,0,0,0
sps4_202102_008,0,0,0,0,0,0,0,0
sps4_202102_009,0,0,0,0,0,0,0,0
sps4_202102_010,0,0,0,0,0,0,0,0
sps4_202102_011,0,0,0,0,0,0,0,0
sps4_202102_012,0,0,0,0,0,0,0,0
sps4_202102_013,0,0,0,0,0,0,0,0
sps4_202102_014,0,0,0,0,0,0,0,0
sps4_202102_015,0,0,0,0,0,0,0,0
sps4_202102_016,0,0,0,0,0,0,0,0
sps4_202102_017,0,0,0,0,0,0,0,0
sps4_202102_018,0,0,0,0,0,0,0,0
sps4_202102_019,0,0,0,0,0,0,0,0
sps4_202102_020,0,0,0,0,0,0,0,0
sps4_202102_021,0,0,0,0,0,0,0,0
sps4_202102_022,0,0,0,0,0,0,0,0
sps4_202102_023,0,0,0,0,0,0,0,0
sps4_202102_024,0,0,0,0,0,0,0,0
sps4_202102_025,0,0,0,0,0,0,0,0
sps4_200205_001,0,0,0,0,0,0,0,0
sps4_200205_002,0,0,0,0,0,0,0,0
sps4_200205_003,0,0,0,0,0,0,0,0
sps4_200205_004,0,0,0,0,0,0,0,0
sps4_200205_005,0,0,0,0,0,0,0,0
sps4_200205_006,0,0,0,0,0,0,0,0
sps4_200205_007,0,0,0,0,0,0,0,0
sps4_200205_008,0,0,0,0,0,0,0,0
sps4_200205_009,0,0,0,0,0,0,0,0
sps4_200205_010,0,0,0,0,0,0,0,0
sps4_200205_011,0,0,0,0,0,0,0,0
sps4_200205_012,0,0,0,0,0,0,0,0
sps4_200205_013,0,0,0,0,0,0,0,0
sps4_200205_014,0,0,0,0,0,0,0,0
sps4_200205_015,0,0,0,0,0,0,0,0
sps4_200205_016,0,0,0,0,0,0,0,0
sps4_200205_017,0,0,0,0,0,0,0,0
sps4_200205_018,0,0,0,0,0,0,0,0
sps4_200205_019,0,0,0,0,0,0,0,0
sps4_200205_020,0,0,0,0,0,0,0,0
sps4_200205_021,0,0,0,0,0,0,0,0
sps4_200205_022,0,0,0,0,0,0,0,0
sps4_200205_023,0,0,0,0,0,0,0,0
sps4_200205_024,0,0,0,0,0,0,0,0
sps4_200205_025,0,0,0,0,0,0,0,0
sps4_200305_001,0,0,0,0,0,0,0,0
sps4_200305_002,0,0,0,0,0,0,0,0
sps4_200305_003,0,0,0,0,0,0,0,0
sps4_200305_004,0,0,0,0,0,0,0,0
sps4_200305_005,0,0,0,0,0,0,0,0
sps4_200305_006,0,0,0,0,0,0,0,0
sps4_200305_007,0,0,0,0,0,0,0,0
sps4_200305_008,0,0,0,0,0,0,0,0
sps4_200305_009,0,0,0,0,0,0,0,0
sps4_200305_010,0,0,0,0,0,0,0,0
sps4_200305_011,0,0,0,0,0,0,0,0
sps4_200305_012,0,0,0,0,0,0,0,0
sps4_200305_013,0,0,0,0,0,0,0,0
sps4_200305_014,0,0,0,0,0,0,0,0
sps4_200305_015,0,0,0,0,0,0,0,0
sps4_200305_016,0,0,0,0,0,0,0,0
sps4_200305_017,0,0,0,0,0,0,0,0
sps4_200305_018,0,0,0,0,0,0,0,0
sps4_200305_019,0,0,0,0,0,0,0,0
sps4_200305_020,0,0,0,0,0,0,0,0
sps4_200305_021,0,0,0,0,0,0,0,0
sps4_200305_022,0,0,0,0,0,0,0,0
sps4_200305_023,0,0,0,0,0,0,0,0
sps4_200305_024,0,0,0,0,0,0,0,0
sps4_200305_025,0,0,0,0,0,0,0,0
sps4_200405_001,0,0,0,0,0,0,0,0
sps4_200405_002,0,0,0,0,0,0,0,0
sps4_200405_003,0,0,0,0,0,0,0,0
